box_img_group,label,box_img_ratio,IoU,F1,Precision,Recall
<0.05,Brain Tumor/Lesion @ MR,0.009548611111111112,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.008020833333333333,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.006875,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.006493055555555556,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.005555555555555556,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.004618055555555556,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.0038888888888888888,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.004375,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.004375,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.0040625,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.004131944444444444,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.004166666666666667,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.0036458333333333334,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.002916666666666667,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.0024305555555555556,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.0034027777777777776,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.005902777777777778,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.008385416666666666,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.009166666666666667,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.010833333333333334,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.01453125,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.016041666666666666,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.016527777777777777,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.018125,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.02013888888888889,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.02064236111111111,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.021875,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.022604166666666668,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.02277777777777778,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.024635416666666667,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.025208333333333333,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.02578125,0.0,0.0,0.0,0.0
<0.05,Liver @ CT,0.0013275146484375,0.0,0.0,0.0,0.0
<0.05,Liver @ CT,0.003986358642578125,0.0,0.0,0.0,0.0
<0.05,Liver @ CT,0.006500244140625,0.0,0.0,0.0,0.0
<0.05,Liver @ CT,0.01016998291015625,0.0,0.0,0.0,0.0
<0.05,Liver @ CT,0.013126373291015625,0.0,0.0,0.0,0.0
<0.05,Liver @ CT,0.01595306396484375,0.0,0.0,0.0,0.0
<0.05,Liver @ CT,0.01912689208984375,0.0,0.0,0.0,0.0
<0.05,Liver @ CT,0.02130889892578125,0.0,0.0,0.0,0.0
<0.05,Liver @ CT,0.0260162353515625,0.0,0.0,0.0,0.0
<0.05,Liver @ CT,0.029205322265625,0.0,0.0,0.0,0.0
<0.05,Liver @ CT,0.033969879150390625,0.0,0.0,0.0,0.0
<0.05,Liver @ CT,0.03818511962890625,0.0,0.0,0.0,0.0
<0.05,Liver @ CT,0.0423431396484375,0.0,0.0,0.0,0.0
<0.05,Liver @ CT,0.046108245849609375,0.0,0.0,0.0,0.0
<0.05,Liver @ CT,0.0493927001953125,0.0,0.0,0.0,0.0
0.05~0.10,Liver @ CT,0.0537109375,0.0,0.0,0.0,0.0
0.05~0.10,Liver @ CT,0.05870819091796875,0.0,0.0,0.0,0.0
0.05~0.10,Liver @ CT,0.062313079833984375,0.0,0.0,0.0,0.0
0.05~0.10,Liver @ CT,0.0688934326171875,0.0,0.0,0.0,0.0
0.05~0.10,Liver @ CT,0.072509765625,0.0,0.0,0.0,0.0
0.05~0.10,Liver @ CT,0.076904296875,0.0,0.0,0.0,0.0
0.05~0.10,Liver @ CT,0.08115768432617188,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.000457763671875,0.0,0.0,0.0,0.0
